year,program_rule,data_rule,paperwork,other_notice,total
1995,35,6,27,47,115
1996,30,1,74,34,139
1997,37,4,115,47,203
1998,57,4,132,63,256
1999,52,2,152,76,282
2000,50,2,170,79,301
2001,68,0,166,90,324
2002,46,7,169,115,337
2003,61,3,87,71,222
2004,60,4,56,104,224
2005,72,7,89,110,278
2006,50,5,96,118,269
2007,66,7,78,109,260
2008,72,7,71,94,244
2009,55,5,77,72,209
2010,44,7,72,82,205
2011,64,9,93,86,252
2012,25,22,91,76,214
2013,37,19,117,79,252
2014,36,25,101,74,236
2015,37,30,98,65,230
2016,55,26,114,62,257
2017,42,17,101,41,201
2018,32,24,94,65,215
2019,36,30,108,52,226
2020,46,22,97,49,214
2021,42,25,124,45,236
2022,43,19,123,49,234
2023,35,30,134,69,268
2024,42,24,191,60,317
2025,22,19,119,51,211
